ID_Venda,Data,ID_Produto,ID_Cliente,ID_Vendedor,Quantidade,Valor_Unitario
1001,2025-02-21,P041,C045,V036,4,358.08
1002,2025-05-11,P050,C050,V004,4,419.81
1003,2025-05-26,P021,C026,V018,2,144.94
1004,2025-03-17,P037,C046,V021,4,344.95
1005,2025-02-25,P026,C042,V030,3,169.2
1006,2025-05-24,P016,C048,V036,9,168.23
1007,2024-12-31,P038,C028,V038,7,212.9
1008,2025-04-24,P009,C033,V032,2,390.1
1009,2025-05-17,P008,C010,V041,3,406.44
1010,2025-03-03,P028,C039,V005,7,221.73
1011,2025-02-26,P030,C034,V017,9,437.35
1012,2025-01-20,P001,C044,V047,2,356.77
1013,2025-04-25,P035,C049,V018,6,100.2
1014,2025-01-18,P028,C011,V030,1,479.22
1015,2025-05-13,P047,C017,V033,3,278.46
1016,2025-04-03,P007,C041,V020,9,324.04
1017,2025-01-23,P010,C024,V049,3,292.72
1018,2025-04-28,P050,C034,V001,10,195.87
1019,2025-05-01,P002,C008,V024,5,157.75
1020,2025-03-12,P016,C037,V006,2,379.36
1021,2025-03-05,P005,C049,V035,3,107.78
1022,2025-04-01,P031,C036,V011,5,287.45
1023,2025-01-16,P039,C028,V014,9,389.87
1024,2025-01-23,P045,C013,V046,5,229.55
1025,2025-02-24,P043,C042,V024,8,454.83
1026,2024-12-16,P029,C008,V016,4,78.81
1027,2025-04-18,P002,C038,V036,4,314.8
1028,2025-01-25,P001,C005,V046,1,153.02
1029,2025-01-15,P003,C022,V005,9,157.1
1030,2025-01-22,P043,C032,V014,9,109.54
1031,2025-02-04,P037,C037,V031,4,403.08
1032,2025-02-01,P027,C013,V007,2,346.54
1033,2025-05-23,P023,C028,V027,8,438.73
1034,2025-03-15,P004,C044,V042,2,77.28
1035,2024-12-16,P047,C022,V007,4,136.22
1036,2024-12-27,P035,C029,V009,7,132.57
1037,2024-12-30,P030,C016,V005,8,413.61
1038,2025-01-14,P036,C007,V004,9,426.21
1039,2025-02-13,P006,C049,V016,3,232.89
1040,2025-04-14,P031,C014,V026,1,124.09
1041,2024-12-30,P001,C025,V017,8,178.36
1042,2025-04-17,P045,C047,V036,8,119.66
1043,2025-01-11,P019,C014,V004,10,381.08
1044,2024-12-13,P004,C048,V021,1,72.56
1045,2025-02-19,P031,C033,V034,3,75.6
1046,2025-02-18,P033,C006,V012,2,317.77
1047,2025-02-03,P044,C016,V026,2,473.72
1048,2025-03-16,P037,C016,V038,10,67.88
1049,2025-03-01,P006,C027,V043,10,304.35
1050,2025-02-19,P021,C017,V014,6,157.41
