Name;Table;Type;Has_error;Best_practices_violations;Source;Source_type;Lineage_tag;Display_folder;Description;Expression
Calendario Vendas;_medidas;Measure;False;2;canal_v1;Semantic model;cdb612ca-67e8-4d53-a7c2-e44eefd05a19;;;"
 VAR vDia = 
    SELECTEDVALUE(d_calendario[DataId])

VAR vTotalVendas = 
[qtd_itens_vendidos]

RETURN
[receita_total]"
variacao_qtd_vendas_mom_%;_medidas;Measure;False;0;canal_v1;Semantic model;3f5a4a65-dc9c-4558-8987-998060195912;;;"
VAR _diff = [dif_qtd_vendas_mom]
VAR _anterior = [qtd_vendas_mes_anterior]
RETURN
DIVIDE(
    _diff,
    _anterior,
    BLANK()
)"
receita_total;_medidas;Measure;False;0;canal_v1;Semantic model;ddd3f00f-948e-4960-8d11-36560b704ee9;;;"
SUMX(f_vendas, f_vendas[Quantidade] * f_vendas[Valor_Unitario])"
dif_qtd_vendas_mom;_medidas;Measure;False;0;canal_v1;Semantic model;7c09f6c3-8105-4d3b-8a9c-cf9e073260bb;;;"
VAR _atual = [qtd_vendas]
VAR _anterior = [qtd_vendas_mes_anterior]
RETURN
IF(
    NOT ISBLANK(_anterior) && NOT ISBLANK(_atual),
    _atual - _anterior,
    BLANK()
)"
qtd_itens_vendidos;_medidas;Measure;False;0;canal_v1;Semantic model;7c4d7185-f014-4b41-9ff8-1fa9713eed96;;;"
SUM(f_vendas[Quantidade])
"
qtd_itens_mes_anterior;_medidas;Measure;False;0;canal_v1;Semantic model;b9ae5cf5-32ef-4de2-ae4e-ce81ed307826;;;"
CALCULATE(
    [qtd_itens_vendidos], 
    PREVIOUSMONTH(d_calendario[DataId])
)"
itens_por_venda;_medidas;Measure;False;0;canal_v1;Semantic model;6f9b4ae8-c3e0-4a2e-beb2-8469d296a57e;;;"
DIVIDE(
    [qtd_itens_vendidos], 
    [qtd_vendas], 
    0
)"
qtd_produtos_vendidos;_medidas;Measure;False;0;canal_v1;Semantic model;4e72f00a-515f-4bff-a3ec-8712d2a31dc4;;;"
DISTINCTCOUNT(f_vendas[ID_Produto])"
preco_medio_unitario;_medidas;Measure;False;0;canal_v1;Semantic model;e219e478-6b37-49fb-b72c-b6c46edb9f95;;;"
DIVIDE(
    [receita_total], 
    [qtd_itens_vendidos], 
    0
)"
variacao_itens_mom_%;_medidas;Measure;False;0;canal_v1;Semantic model;7aa40956-8a6e-4486-9478-8784d8f92d39;;;"
DIVIDE(
    [qtd_itens_vendidos] - [qtd_itens_mes_anterior],
    [qtd_itens_mes_anterior],
    BLANK()
)"
vendas%;_medidas;Measure;False;0;canal_v1;Semantic model;8cc1b2b9-649f-407e-9517-296349124e5e;;;"
VAR porcentagem_venda = 
CALCULATE(
    [receita_total],
        ALL(f_vendas)
)
return
DIVIDE( [receita_total], porcentagem_venda)"
qtd_clientes_mes_anterior;_medidas;Measure;False;0;canal_v1;Semantic model;7a2f4b29-632b-44a5-8e97-890f1b253c90;;;"
CALCULATE(
    [qtd_clientes],
    PREVIOUSMONTH(d_calendario[DataId])
)"
dif_qtd_clientes_mom;_medidas;Measure;False;0;canal_v1;Semantic model;d5c07ddb-4c0f-4940-8c72-734eb930dfdc;;;"
VAR _atual = [qtd_clientes]
VAR _anterior = [qtd_clientes_mes_anterior]
RETURN
IF(
    NOT ISBLANK(_anterior) && NOT ISBLANK(_atual),
    _atual - _anterior,
    BLANK()
)"
receita_ano_anterior;_medidas;Measure;False;0;canal_v1;Semantic model;99e24968-cc47-4fc9-9dd9-d906979f035c;;;"
    CALCULATE([receita_total],
        SAMEPERIODLASTYEAR(d_calendario[DataId]))"
variacao_pedidos_mom_%;_medidas;Measure;False;0;canal_v1;Semantic model;f7ec3e80-18c8-4637-9cbe-ce9464e3bb8f;;;"
DIVIDE(
    [qtd_vendas] - [qtd_vendas_mes_anterior],
    [qtd_vendas_mes_anterior],
    BLANK()
)"
Faturamento TopN2;_medidas;Measure;False;0;canal_v1;Semantic model;9ceb0d51-21c4-4e0a-adaa-bfd27acb138d;;;"

VAR vQtdTopn = [Valor TopN]
VAR vTopn = 
TOPN(
    vQtdTopn,
    ALL(produtosOutros),
    [receita_total]
)
VAR vFaturmamentoTop = 
CALCULATE(
    [receita_total],
   KEEPFILTERS( vTopn )
)

VAR vOutros = 
EXCEPT(ALL(produtosOutros),vTopn)


VAR vFatOutros = 
CALCULATE(
    [receita_total],
   KEEPFILTERS( vOutros)
)
return
IF(
    SELECTEDVALUE(TopGrupos[Value]) = ""Demais Produtos"", vFatOutros,vFaturmamentoTop)"
qtd_clientes;_medidas;Measure;False;0;canal_v1;Semantic model;9b7074bf-3f25-458d-92da-2aff7c660c84;;;"
DISTINCTCOUNT(f_vendas[ID_Cliente])"
ticket_medio;_medidas;Measure;False;0;canal_v1;Semantic model;7628945a-b7c5-404a-8090-bc98c9ae3486;;;"
DIVIDE(
    [receita_total], 
    [qtd_vendas], 
    0
)
"
