Table_name;ID;Table_type;Table_source;Table_size;Table_status;Table_uses;Table_storage_mode;Usage_sub_level_type;Used_in_name;Used_in_ID;Used_in_object_type;Used_in_table;Used_in_source;Used_in_data_type;Used_in_size;Used_in_status;Used_in_number_of_uses;Used_in_format_string;Has_error;Used_in_display_folder
d_calendario;717;Table;canal_v1 (localhost:56780);7.5 MB;Used 38.5% (5/13);26;Import;Used in artifacts;receita_mes_anterior;4348;Measure;_medidas;canal_v1 (localhost:56780);Double;0 B;Used;2;;False;
d_calendario;717;Table;canal_v1 (localhost:56780);7.5 MB;Used 38.5% (5/13);26;Import;Used in artifacts;qtd_clientes_mes_anterior;4376;Measure;_medidas;canal_v1 (localhost:56780);Integer;0 B;Used;2;0;False;
d_calendario;717;Table;canal_v1 (localhost:56780);7.5 MB;Used 38.5% (5/13);26;Import;Used in artifacts;receita_ano_anterior;4308;Measure;_medidas;canal_v1 (localhost:56780);Double;0 B;Used;2;;False;
d_calendario;717;Table;canal_v1 (localhost:56780);7.5 MB;Used 38.5% (5/13);26;Import;Used in artifacts;qtd_itens_mes_anterior;4359;Measure;_medidas;canal_v1 (localhost:56780);Integer;0 B;Used by unused;1;0;False;
d_calendario;717;Table;canal_v1 (localhost:56780);7.5 MB;Used 38.5% (5/13);26;Import;Used in artifacts;qtd_vendas_mes_anterior;4364;Measure;_medidas;canal_v1 (localhost:56780);Integer;0 B;Used;3;0;False;
d_calendario;717;Table;canal_v1 (localhost:56780);7.5 MB;Used 38.5% (5/13);26;Import;Used in artifacts;Calendario Vendas;4304;Measure;_medidas;canal_v1 (localhost:56780);Double;0 B;Used;1;;False;
d_calendario;717;Table;canal_v1 (localhost:56780);7.5 MB;Used 38.5% (5/13);26;Import;Used in calculated tables;LocalDateTable_b29d074d-15a8-4404-91ac-86d4831a03e8;723;Local Date Table;;canal_v1 (localhost:56780);;72.3 kB;Used;22;;;
d_calendario;717;Table;canal_v1 (localhost:56780);7.5 MB;Used 38.5% (5/13);26;Import;Columns;Nome dia abreviado;3791;Column;d_calendario;canal_v1 (localhost:56780);Text;1.1 MB;Used;1;;False;
d_calendario;717;Table;canal_v1 (localhost:56780);7.5 MB;Used 38.5% (5/13);26;Import;Columns;Nome do Dia;746;Column;d_calendario;canal_v1 (localhost:56780);Text;1.1 MB;Unused;0;;False;
d_calendario;717;Table;canal_v1 (localhost:56780);7.5 MB;Used 38.5% (5/13);26;Import;Columns;Mes Abreviado;3794;Column;d_calendario;canal_v1 (localhost:56780);Text;1.1 MB;Used;2;;False;
d_calendario;717;Table;canal_v1 (localhost:56780);7.5 MB;Used 38.5% (5/13);26;Import;Columns;Mes/Ano;749;Column;d_calendario;canal_v1 (localhost:56780);Text;1.1 MB;Unused;0;;False;
d_calendario;717;Table;canal_v1 (localhost:56780);7.5 MB;Used 38.5% (5/13);26;Import;Columns;Nome do Mês;745;Column;d_calendario;canal_v1 (localhost:56780);Text;1.1 MB;Unused;0;;False;
d_calendario;717;Table;canal_v1 (localhost:56780);7.5 MB;Used 38.5% (5/13);26;Import;Columns;Semestre;747;Column;d_calendario;canal_v1 (localhost:56780);Text;1.1 MB;Unused;0;;False;
d_calendario;717;Table;canal_v1 (localhost:56780);7.5 MB;Used 38.5% (5/13);26;Import;Columns;Trimestre;748;Column;d_calendario;canal_v1 (localhost:56780);Text;1.1 MB;Unused;0;;False;
d_calendario;717;Table;canal_v1 (localhost:56780);7.5 MB;Used 38.5% (5/13);26;Import;Columns;DataId;727;Column;d_calendario;canal_v1 (localhost:56780);DateTime;7.8 kB;Used;13;Long Date;False;
d_calendario;717;Table;canal_v1 (localhost:56780);7.5 MB;Used 38.5% (5/13);26;Import;Columns;Nome dia num;3792;Column;d_calendario;canal_v1 (localhost:56780);Integer;1.6 kB;Unused;0;0;False;
d_calendario;717;Table;canal_v1 (localhost:56780);7.5 MB;Used 38.5% (5/13);26;Import;Columns;Mês;743;Column;d_calendario;canal_v1 (localhost:56780);Integer;1.6 kB;Unused;0;0;False;
d_calendario;717;Table;canal_v1 (localhost:56780);7.5 MB;Used 38.5% (5/13);26;Import;Columns;Ano;742;Column;d_calendario;canal_v1 (localhost:56780);Integer;1.5 kB;Used;1;0;False;
d_calendario;717;Table;canal_v1 (localhost:56780);7.5 MB;Used 38.5% (5/13);26;Import;Columns;Semana do Ano;3793;Column;d_calendario;canal_v1 (localhost:56780);Integer;536.0 B;Unused;0;0;False;
d_calendario;717;Table;canal_v1 (localhost:56780);7.5 MB;Used 38.5% (5/13);26;Import;Columns;Dia;744;Column;d_calendario;canal_v1 (localhost:56780);Integer;528.0 B;Used;2;0;False;
d_clientes;16;Table;canal_v1 (localhost:56780);4.3 MB;Used 75.0% (3/4);4;Import;Columns;Nome_Cliente;37;Column;d_clientes;canal_v1 (localhost:56780);Text;1.1 MB;Unused;0;;False;
d_clientes;16;Table;canal_v1 (localhost:56780);4.3 MB;Used 75.0% (3/4);4;Import;Columns;ID_Cliente;36;Column;d_clientes;canal_v1 (localhost:56780);Text;1.1 MB;Used;1;;False;
d_clientes;16;Table;canal_v1 (localhost:56780);4.3 MB;Used 75.0% (3/4);4;Import;Columns;Cidade;38;Column;d_clientes;canal_v1 (localhost:56780);Text;1.1 MB;Used;1;;False;
d_clientes;16;Table;canal_v1 (localhost:56780);4.3 MB;Used 75.0% (3/4);4;Import;Columns;Estado;39;Column;d_clientes;canal_v1 (localhost:56780);Text;1.1 MB;Used;2;;False;
TopGrupos;2781;Calculated Table;canal_v1 (localhost:56780);1.1 MB;Used;5;Import;Used in artifacts;Rank v2;2945;Measure;_medidas;canal_v1 (localhost:56780);Integer;0 B;Used;1;0;False;
TopGrupos;2781;Calculated Table;canal_v1 (localhost:56780);1.1 MB;Used;5;Import;Used in artifacts;Faturamento TopN2;3024;Measure;_medidas;canal_v1 (localhost:56780);Double;0 B;Used;1;;False;
TopGrupos;2781;Calculated Table;canal_v1 (localhost:56780);1.1 MB;Used;5;Import;Columns;Value;2831;Column;TopGrupos;canal_v1 (localhost:56780);Text;1.1 MB;Used;3;;False;
f_vendas;10;Table;canal_v1 (localhost:56780);95.9 kB;Used 87.5% (7/8);23;Import;Used in artifacts;vendas%;3788;Measure;_medidas;canal_v1 (localhost:56780);Double;0 B;Used;1;;False;
f_vendas;10;Table;canal_v1 (localhost:56780);95.9 kB;Used 87.5% (7/8);23;Import;Used in artifacts;qtd_itens_vendidos;2111;Measure;_medidas;canal_v1 (localhost:56780);Integer;0 B;Used;8;0;False;
f_vendas;10;Table;canal_v1 (localhost:56780);95.9 kB;Used 87.5% (7/8);23;Import;Used in artifacts;qtd_clientes;2115;Measure;_medidas;canal_v1 (localhost:56780);Integer;0 B;Used;4;0;False;
